link,name,price,condition,explanation,source
https://buyee.jp/mercari/item/m94727823937,Samsung Galaxy S22 SIM フリー,"32,000 yen",A little damaged/dirty,"Samsung Galaxy S22 SIM フリー Samsung Galaxy S22 すべての機能がテストされ、承認されました！ 側面に小さな傷がいくつかあります。 シリーズ...Galaxy 機種名...Galaxy S22 スマートフォン カラー...ファントムホワイト 容量...256GB 機能不良...なし 購入したキャリア...SIMフリー 購入したキャリア...docomo 付属品...充電ケーブル, 説明書, 箱 バッテリー最大容量...85~89% 画面割れ...なし",mercari
https://buyee.jp/mercari/item/m30547600855,Apple iPhone7スマートフォン MNCA2J/A 画面割れ初期化済,"8,000 yen",Damaged/dirty,Apple iPhone7スマートフォン MNCA2J/A 画面割れ初期化済 【モデル情報】 このスマートフォンは、モデル番号MNCA2J/Aで、シリアル番号はF17588VBV5Hです。特定の機能や性能を確認するための重要な情報です。 【状態】 画面にひび割れがあり、視認性に影響を与えています。使用には注意が必要です。 【バッテリー性能】 最大容量は19.0GBで、最適化されたバッテリー充電機能があります。バッテリーの健康状態を維持するための機能が搭載されています。 - モデル番号: MNCA2J/A - シリアル番号: F17588VBV5H - 状態: 画面割れ - 最大容量: 19.0GB - バッテリー状態: 88% 最適化されたバッテリー充電 ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 7 容量···32GB スマートフォン カラー···シルバー 機種名···iPhone 15 Pro Max 機種名···iPhone 7 機能不良···あり,mercari
https://buyee.jp/mercari/item/m25294139756,【docomo版】 Galaxy S6 SC-05G 本体 動作確認済み,"3,980 yen",No obvious damages/dirt,【docomo版】 Galaxy S6 SC-05G 本体 動作確認済み 当店の厳しい15点の動作チェッククリア！ 限定1台！早い者勝ち！ ご褒美や2台目にも最適！ 即購入OK！お早めに！ このたびは、商品を閲覧いただき誠にありがとうございます！ 商品は一点限りで早い者勝ちです！迷っている間に売り切れてしまいますのでお早めにご購入ください！ ご自身用のご褒美、お子様用、2台持ち用などにも如何でしょうか！ ♢安心のご利用♢ 当店独自の合計15点に及ぶ検査項目における厳しい動作チェックで確認済みです！ また、各種ロックはオフ、ネットワーク利用制限はかかっていないので、今後利用できなくなる事はございません。安心してご利用いただけます(^^) ♢通信について♢ SIMカードを使用せずにWi-Fi環境でも利用可能です！こちらの機種はdocomo版です。docomoショップにて無料でSIMロック解除が可能です。 ♢商品詳細♢ - ネットワーク利用制限：なし - キャリア：docomo版 - IMEI：写真に記載 - バッテリーの状態：設定から確認できる機種は写真に記載 - SIMサイズ：nano ♢価格について♢ こちらの商品はギリギリの価格で出しているのでお値下げできません。商品は一点限りなので、迷っている間に売れてしまいます！ 写真撮影の際反射で光源が写り込んでいる部分があります。もし追加の写真が欲しい場合はコメント頂ければ追加いたします！ ご質問、ご不明点等ございましたら、コメントにてお申し付けください。24時間以内に返信させていただきます！ 商品番号:S0351 シリーズ···Galaxy 機種名···Galaxy S6 スマートフォン カラー···ホワイト 容量···32GB 機能不良···なし,mercari
https://buyee.jp/mercari/item/m41775764197,Apple iPhone 本体,"35,000 yen",No obvious damages/dirt,Apple iPhone 本体 初期設定画面のApple iPhone - ブランド: Apple - モデル: iPhone (モデル名不明) - 色: ブラック - 言語設定: 日本語、英語、他多数 - 状態: 初期設定画面 ご覧いただきありがとうございます。 最大充電80%程度 シリーズ···iPhone 機種名···iPhone 13 容量···256GB 機能不良···なし スマートフォン カラー···スターライト,mercari
https://buyee.jp/mercari/item/m81156574314,【美品】iPhone 14 Pro Max 256gbディープパープル 本体,"98,000 yen",No obvious damages/dirt,【美品】iPhone 14 Pro Max 256gbディープパープル 本体 ディープパープルのiPhone 14 ProM a x 未使用に近い状態で、箱と説明書無し - モデル: iPhone 14 Promax - 色: ディープパープル - 付属品: 箱、説明書無し - 状態: 未使用に近い - ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 14 Pro Max スマートフォン カラー···ディープパープル 容量···256GB 機能不良···なし,mercari
https://buyee.jp/mercari/item/m79886704062,未使用開封済 arrows We FCG01 5.7インチ64GB 5G 新古品,"7,580 yen",New/Unused,未使用開封済 arrows We FCG01 5.7インチ64GB 5G 新古品 ★最安値 ★未使用開封済み！ arrows We FCG01 ホワイト 大画面5.7インチ 64GB 5G新古品 ★人気のホワイトモデル新古品 安心の富士通Androidスマートフォン！ ★早い物勝ち在庫限りです！ ★台数まとめ買いもご連絡下さい。 ★SIMフリー★nanoSIM、キャリア未登録 開封済み画面フィルム剥がしWiFi接続、アプリダウンロードなど動作確認テストを行っただけの未使用の新古品です。 ★未使用新古品のほぼ新品です 人気のホワイトですお買い得です！ ★箱なし本体のみになります！開封済みなので、カメラの保護シールがとれている場合や目立たない極くわずかな傷がある場合がございます。 ご年配の方やお子様にも最適な一台です。SIMフリーモデル、大画面5.7インチ 64GB 5G、デュアルカメラ、防水、指紋認証など様々な機能が搭載されています。 ★最新のアンドロイド14OSにアップデートできます。 ※キャリア未登録品 発売日: 2021/12/03〜 富士通｜メーカー型番：FCG01｜CPUコア数：8 コア｜OS種類：Android｜ストレージ容量合計：64 GB｜メモリ容量（RAM）：4 GB｜機種・対応機種arrows We｜シリーズ名：arrows｜指紋認証：有｜有効画素数（サブ）：500 万画素｜有効画素数（メイン）1310 万画素｜Bluetooth対応：有★nanoSIM ★SIMはAU ドコモ SOFTBANK 格安SIM 海外でも使用可。ただしすべてのシムが使用できることを保証するものではありません。携帯電話会社によりiPhone/Android向けSIM等で種類が分かれている場合がございます。SIMカードの利用可否等詳細につきましてはお手数ではございますがご契約の電話会社までお問い合わせ下さい。 [保障] アフターサポートを行っておりません。初期不良や故障の際はお客様ご自身でメーカーでのご対応をお願いしますその他配送事故以外での初期不良、故障、電波状況等機器に関わる問題お客様都合での返品交換は一切お受けしてません。 ★未使用開封済み SIMフリー開封済み画面フィルム剥がしWiFi接続、アプリダウンロードなど動作確認テストを行っただけの未使用の新古品です。 ★人気のホワイト在庫限りです！ 2台3台目に最適です。,mercari
https://buyee.jp/mercari/item/m36706333286,【SIMロック解除済】Apple iPhone 6s 16GB,"6,000 yen",No obvious damages/dirt,【SIMロック解除済】Apple iPhone 6s 16GB 画面ヤケ 裏面キズ 画面側はフィルム貼ってあったので剥がしても綺麗でした。 16GBストレージのiPhone 6s、iOS 12.2搭載。 - モデル: iPhone 6s - ストレージ容量: 16GB - ソフトウェアバージョン: 12.2 - シリアル番号: F71Q98QCRY8 バッテリー最大容量85% ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 6s スマートフォン カラー···ローズゴールド 容量···16GB 機能不良···なし,mercari
https://buyee.jp/mercari/item/m79357173477,LG it LGV36 3G32G android 9 Simフリー2台,"6,200 yen",Damaged/dirty,LG it LGV36 3G32G android 9 Simフリー2台 LG it LGV36 au Simフリー Snapdragon425 RAM 3GB ストレージ 32GB android 9 5インチ 140g IMEI 359693092165827 IMEI 359693090396200 ２台とも液晶が割れています。 外装に傷や使用感があります。 この出品は値下げ不可とさせていただきます。 値下げコメントをいただいても応じかねますのでよろしくお願いいたします。 Simの動作確認しました。 Wifi bluetooth カメラ スピーカー マイク イヤホン SDカードスロットの動作を確認しました。 なお、この機種はバッテリー交換が可能です。 ネコポスにて送ります。,mercari
https://buyee.jp/mercari/item/m14670528050,Apple iPhone 15 ピンク 128GB 本体,"87,500 yen",No obvious damages/dirt,Apple iPhone 15 ピンク 128GB 本体 ピンクのiPhone 15、128GBストレージ、充電ケーブル付属。 残債なし、SIMフリー 2024/4にApple Store福岡にて新品購入し、 約1年半使用しました。 SIMフリーです、イオンモバイルを使用していました。 購入後すぐにフィルムを貼りました、そのままお送りします。 使用に伴う小傷があります。 写真追加しますので気になる部分あればコメントお願いします。 バッテリーは89%です。 修理歴はありません。 - モデル: iPhone 15 - 色: ピンク - 付属品: 充電ケーブル - ストレージ容量: 128GB ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 15 スマートフォン カラー···ピンク 容量···128GB 機能不良···なし 87 84,mercari
https://buyee.jp/mercari/item/m85205221126,iPhone13pro 512gb SIMフリー本体,"50,000 yen",No obvious damages/dirt,iPhone13pro 512gb SIMフリー本体 シリーズ···iPhone 機種名···iPhone 13 Pro スマートフォン カラー···グラファイト 容量···512GB,mercari
