name,price,condition,source,battery_percentage,battery_status,battery_replaced,storage,ram,has_box,has_charger,has_cable,has_earphones,accessories_complete,is_sim_free,network_restriction,has_scratches,screen_condition,body_condition,camera_condition,has_damage,face_id_working,touch_id_working,fully_functional,has_issues
Xiaomi Redmi Note9T 128GB A001XM Softbank ○判定 グレー アンドロイドスマートフォン スマホ 【中古】 12510K441,"7,500 yen",A little damaged/dirty,mercari,,,False,128GB,,False,False,False,False,False,False,none,True,,excellent,,True,,,False,True
スマートフォン本体 3台セット,"2,000 yen",Damaged/dirty,mercari,,,False,,,False,False,False,False,False,False,,False,,,,True,,,False,False
【美品】iPhone7 SIMフリー 純正付属品多数 保護ケース/保護ガラス付,"8,538 yen",No obvious damages/dirt,mercari,78.0,,False,32GB,,False,True,True,True,True,True,,False,clean,excellent,,False,,,False,False
Apple iPhone 6 ゴールド 画面ひびあり,"3,300 yen",A little damaged/dirty,mercari,,,False,,,False,False,False,False,False,False,,False,cracked,,,True,,,False,False
美品 iPhone SE ホワイト 第2世代 バッテリー100％ 128GB,"15,000 yen",No obvious damages/dirt,mercari,100.0,good,False,128GB,,False,False,False,False,False,True,none,False,clean,excellent,,False,,True,True,False
【美品】iPhone15 128GB ブルー,"77,000 yen",No obvious damages/dirt,mercari,87.0,,False,128GB,,True,False,False,False,False,True,,True,clean,excellent,,False,,,False,False
Samsung Galaxy Z Flip 5 パープル 傷あり,"15,000 yen",Damaged/dirty,mercari,,,False,512GB,,False,False,False,False,False,True,,True,clean,excellent,,False,,,False,False
POCOF7 シルバー 12GB+512GB,"52,000 yen",No obvious damages/dirt,mercari,100.0,,False,512GB,,False,False,False,False,False,False,,True,scratched,,,False,,,False,False
未使用に近い　保証付　バッテリー100%　iPhone 13 Pro 256GB,"85,900 yen",Close to unused,mercari,100.0,good,True,512GB,,True,False,True,False,False,True,,True,,excellent,,False,,,True,False
良品　付属品　iPhone SE 第3世代 64GB スターライト SIMフリー,"27,200 yen",A little damaged/dirty,mercari,87.0,good,True,512GB,,True,False,True,False,False,True,,True,,excellent,,False,,,True,False
iPhone 11 128GB レッド新品バッテリー,"24,500 yen",No obvious damages/dirt,mercari,100.0,,True,128GB,,False,False,False,False,False,True,none,True,clean,used,,False,,,True,False
iPhone X 256GB ジャンク SIMフリー,"9,850 yen",A little damaged/dirty,mercari,,degraded,False,256GB,,False,False,False,False,False,True,,True,scratched,,,True,True,,False,True
