link,name,price,condition,explanation,source,original_explanation,preprocessed_explanation,battery_percentage,battery_status,battery_replaced,storage,ram,has_box,has_charger,has_cable,has_earphones,accessories_complete,is_sim_free,sim_lock_status,network_restriction,has_scratches,screen_condition,body_condition,camera_condition,has_damage,face_id_working,touch_id_working,fully_functional,has_issues
https://buyee.jp/mercari/item/2JGwhXjpr2CBTYunWXKa7i,Xiaomi Redmi Note9T 128GB A001XM Softbank ○判定 グレー アンドロイドスマートフォン スマホ 【中古】 12510K441,"7,500 yen",A little damaged/dirty,Xiaomi Redmi Note9T 128GB A001XM Softbank ○判定 グレー アンドロイドスマートフォン スマホ 【中古】 12510K441 【品　名】Redmi Note9T 【メーカー名】Xiaomi 【型　番】A001XM 【容　量】128GB 【キャリア】Softbank 【IMEI/判定	】860250053374906/○判定 【SIMロック】あり 【カラー】グレー 【当店保証】1週間保証 【ランク】B 【付属品】なし 【状　態】使用に伴うキズや汚れが確認出来ます。 【管理番号】001_2510K441 商品ランクについて Ｎ　品：新品です。 Ｓ　品：未使用品にはなりますが展示品や保管品などで微細なキズやスレ、外装に変化がある商品です。 ＳＡ品：未使用品に近く特質するキズ等がない商品です。（外装仕上げ品はこのランクに該当します。） Ａ　品：若干の傷が見受けられるが、綺麗で状態も良い商品です。 ＡＢ品：多少の傷が見受けられるが、全体的に状態の良い商品です。 Ｂ　品：程度は良好だが、日常的に使用していたような使用感が見受けられる商品です。 ＢＣ品：日常的な使用で、キズやスレなどの使用感が多く見受けられる商品です。 Ｃ　品：全体的にかなりの使用感があり、キズやスレ・劣化などが多く見受けられる商品です。 Ｄ　品：破損やダメージで、使用にあたり問題がある、もしくは通常の動作などが出来ないジャンク品です。 配送方法について 原則らくらくメルカリ便になります。 また商品によっては別の運送会社になる事も御座いますので予めご了承くださいませ。 沖縄・離島への配送は追加料金がかかることがございます。,mercari,Xiaomi Redmi Note9T 128GB A001XM Softbank ○判定 グレー アンドロイドスマートフォン スマホ 【中古】 12510K441 【品　名】Redmi Note9T 【メーカー名】Xiaomi 【型　番】A001XM 【容　量】128GB 【キャリア】Softbank 【IMEI/判定	】860250053374906/○判定 【SIMロック】あり 【カラー】グレー 【当店保証】1週間保証 【ランク】B 【付属品】なし 【状　態】使用に伴うキズや汚れが確認出来ます。 【管理番号】001_2510K441 商品ランクについて Ｎ　品：新品です。 Ｓ　品：未使用品にはなりますが展示品や保管品などで微細なキズやスレ、外装に変化がある商品です。 ＳＡ品：未使用品に近く特質するキズ等がない商品です。（外装仕上げ品はこのランクに該当します。） Ａ　品：若干の傷が見受けられるが、綺麗で状態も良い商品です。 ＡＢ品：多少の傷が見受けられるが、全体的に状態の良い商品です。 Ｂ　品：程度は良好だが、日常的に使用していたような使用感が見受けられる商品です。 ＢＣ品：日常的な使用で、キズやスレなどの使用感が多く見受けられる商品です。 Ｃ　品：全体的にかなりの使用感があり、キズやスレ・劣化などが多く見受けられる商品です。 Ｄ　品：破損やダメージで、使用にあたり問題がある、もしくは通常の動作などが出来ないジャンク品です。 配送方法について 原則らくらくメルカリ便になります。 また商品によっては別の運送会社になる事も御座いますので予めご了承くださいませ。 沖縄・離島への配送は追加料金がかかることがございます。,Xiaomi Redmi Note9T 128GB A001XM Softbank ○判定 グレー アンドロイドスマートフォン スマホ 【中古】 12510K441 【品 名】Redmi Note9T 【メーカー名】Xiaomi 【型 番】A001XM 【容 量】128GB 【キャリア】Softbank 【IMEI/判定 】860250053374906/○判定 【SIMロック】あり 【カラー】グレー 【当店保証】1週間保証 【ランク】B 【付属品】なし 【状 態】使用に伴うキズや汚れが確認出来ます。 【管理番号】001_2510K441 商品ランクについて N 品:新品です。 S 品:未使用品にはなりますが展示品や保管品などで微細なキズやスレ、外装に変化がある商品です。 SA品:未使用品に近く特質するキズ等がない商品です。(外装仕上げ品はこのランクに該当します。) A 品:若干の傷が見受けられるが、綺麗で状態も良い商品です。 AB品:多少の傷が見受けられるが、全体的に状態の良い商品です。 B 品:程度は良好だが、日常的に使用していたような使用感が見受けられる商品です。 BC品:日常的な使用で、キズやスレなどの使用感が多く見受けられる商品です。 C 品:全体的にかなりの使用感があり、キズやスレ・劣化などが多く見受けられる商品です。 D 品:破損やダメージで、使用にあたり問題がある、もしくは通常の動作などが出来ないジャンク品です。 配送方法について 原則らくらくメルカリ便になります。 また商品によっては別の運送会社になる事も御座いますので予めご了承くださいませ。 沖縄・離島への配送は追加料金がかかることがございます。,,,False,128GB,,False,False,False,False,False,False,locked,none,True,,excellent,,True,,,False,True
https://buyee.jp/mercari/item/m71918064396,スマートフォン本体 3台セット,"2,000 yen",Damaged/dirty,スマートフォン本体 3台セット 複数のスマートフォンが含まれています。 - ブランド: NTT docomo - ブランド: docomo ご覧いただきありがとうございます。 機能不良···あり 電源3台とも、入りませんそれを承知の上でお買い上げください♪ シリーズ···arrows 機種名···らくらくスマートフォン スマートフォン カラー···ピンク 容量···4GB,mercari,スマートフォン本体 3台セット 複数のスマートフォンが含まれています。 - ブランド: NTT docomo - ブランド: docomo ご覧いただきありがとうございます。 機能不良···あり 電源3台とも、入りませんそれを承知の上でお買い上げください♪ シリーズ···arrows 機種名···らくらくスマートフォン スマートフォン カラー···ピンク 容量···4GB,スマートフォン本体 3台セット 複数のスマートフォンが含まれています。 - ブランド: NTT docomo - ブランド: docomo ご覧いただきありがとうございます。 機能不良···あり 電源3台とも、入りませんそれを承知の上でお買い上げください♪ シリーズ···arrows 機種名···らくらくスマートフォン スマートフォン カラー···ピンク 容量···4GB,,,False,,,False,False,False,False,False,False,,,False,,,,True,,,False,False
https://buyee.jp/mercari/item/m57030802014,【美品】iPhone7 SIMフリー 純正付属品多数 保護ケース/保護ガラス付,"8,538 yen",No obvious damages/dirt,【美品】iPhone7 SIMフリー 純正付属品多数 保護ケース/保護ガラス付 【超美品】iPhone 7 ローズゴールド 32GB 1年ほど綺麗に使用していました。 全てアルコール消毒済みです。 純正付属品 ・充電ケーブル ・SIMピン ・イヤホン ・ACアダプター おまけ ・保護ケース（スタンドにもなります） ・保護ガラス（新品未開封） バッテリー最大容量...78% 画面割れ...なし 機能不良...なし ご検討よろしくお願い致します。,mercari,【美品】iPhone7 SIMフリー 純正付属品多数 保護ケース/保護ガラス付 【超美品】iPhone 7 ローズゴールド 32GB 1年ほど綺麗に使用していました。 全てアルコール消毒済みです。 純正付属品 ・充電ケーブル ・SIMピン ・イヤホン ・ACアダプター おまけ ・保護ケース（スタンドにもなります） ・保護ガラス（新品未開封） バッテリー最大容量...78% 画面割れ...なし 機能不良...なし ご検討よろしくお願い致します。,【美品】iPhone7 SIMフリー 純正付属品多数 保護ケース/保護ガラス付 【超美品】iPhone 7 ローズゴールド 32GB 1年ほど綺麗に使用していました。 全てアルコール消毒済みです。 純正付属品 ・充電ケーブル ・SIMピン ・イヤホン ・ACアダプター おまけ ・保護ケース(スタンドにもなります) ・保護ガラス(新品未開封) バッテリー最大容量...78% 画面割れ...なし 機能不良...なし ご検討よろしくお願い致します。,78.0,,False,32GB,,False,True,True,True,True,True,unlocked,,False,clean,excellent,,False,,,False,False
https://buyee.jp/mercari/item/m65033685182,Apple iPhone 6 ゴールド 画面ひびあり,"3,300 yen",A little damaged/dirty,Apple iPhone 6 ゴールド 画面ひびあり ゴールドのiPhone 6、画面にひびあり。 - モデル: iPhone 6 - カラー: ゴールド - 状態: 画面にひびあり - 接続端子: Lightning端子 - 背面素材: アルミニウム ご覧いただきありがとうございます。 シリーズ...iPhone 機種名...iPhone 6 スマートフォン カラー...ゴールド 容量...16GB 機能不良...あり アクティベーションロック品なので完全部品取りでお願いします。,mercari,Apple iPhone 6 ゴールド 画面ひびあり ゴールドのiPhone 6、画面にひびあり。 - モデル: iPhone 6 - カラー: ゴールド - 状態: 画面にひびあり - 接続端子: Lightning端子 - 背面素材: アルミニウム ご覧いただきありがとうございます。 シリーズ...iPhone 機種名...iPhone 6 スマートフォン カラー...ゴールド 容量...16GB 機能不良...あり アクティベーションロック品なので完全部品取りでお願いします。,Apple iPhone 6 ゴールド 画面ひびあり ゴールドのiPhone 6、画面にひびあり。 - モデル: iPhone 6 - カラー: ゴールド - 状態: 画面にひびあり - 接続端子: Lightning端子 - 背面素材: アルミニウム ご覧いただきありがとうございます。 シリーズ...iPhone 機種名...iPhone 6 スマートフォン カラー...ゴールド 容量...16GB 機能不良...あり アクティベーションロック品なので完全部品取りでお願いします。,,,False,,,False,False,False,False,False,False,,,False,cracked,,,True,,,False,False
https://buyee.jp/mercari/item/m69313081027,美品 iPhone SE ホワイト 第2世代 バッテリー100％ 128GB,"15,000 yen",No obvious damages/dirt,美品 iPhone SE ホワイト 第2世代 バッテリー100％ 128GB iPhone SE 第2世代 の美品です。 ネットワーク利用制限はありません。 一括支払い済み、SIMフリー 動作に問題は無く、全体的に状態は良好です。 状態の詳細は、掲載画像にてご確認いただけます。 新品同様の品質をお求めの方は、 中古品であることをご理解のうえご検討ください。 動作確認済み、初期化済み アクティベーションロック解除済み 発送は本体のみとなります。 iPhone SE 第2世代 128GB SIMフリー ブランド：Apple  iPhone SE（第2世代） 画面サイズ：4.7 インチ 内蔵ストレージ容量：128GB SIM情報：SIMフリー 対応SIMサイズ：nanoSIM スマートフォン特徴：耐水、防水機能  ワイヤレス充電  GPS機能 認証機能：指紋認証 Apple Pay：対応 センサー：加速度センサー  ジャイロセンサー  地磁気センサー(コンパス)  光センサー  近接センサー  気圧センサー シリーズ...iPhone 機種名...iPhone SE 第2世代 (SE2) スマートフォン カラー...ホワイト バッテリー最大容量...100% 画面割れ...なし 機能不良...なし 容量···128GB,mercari,美品 iPhone SE ホワイト 第2世代 バッテリー100％ 128GB iPhone SE 第2世代 の美品です。 ネットワーク利用制限はありません。 一括支払い済み、SIMフリー 動作に問題は無く、全体的に状態は良好です。 状態の詳細は、掲載画像にてご確認いただけます。 新品同様の品質をお求めの方は、 中古品であることをご理解のうえご検討ください。 動作確認済み、初期化済み アクティベーションロック解除済み 発送は本体のみとなります。 iPhone SE 第2世代 128GB SIMフリー ブランド：Apple  iPhone SE（第2世代） 画面サイズ：4.7 インチ 内蔵ストレージ容量：128GB SIM情報：SIMフリー 対応SIMサイズ：nanoSIM スマートフォン特徴：耐水、防水機能  ワイヤレス充電  GPS機能 認証機能：指紋認証 Apple Pay：対応 センサー：加速度センサー  ジャイロセンサー  地磁気センサー(コンパス)  光センサー  近接センサー  気圧センサー シリーズ...iPhone 機種名...iPhone SE 第2世代 (SE2) スマートフォン カラー...ホワイト バッテリー最大容量...100% 画面割れ...なし 機能不良...なし 容量···128GB,美品 iPhone SE ホワイト 第2世代 バッテリー100% 128GB iPhone SE 第2世代 の美品です。 ネットワーク利用制限はありません。 一括支払い済み、SIMフリー 動作に問題は無く、全体的に状態は良好です。 状態の詳細は、掲載画像にてご確認いただけます。 新品同様の品質をお求めの方は、 中古品であることをご理解のうえご検討ください。 動作確認済み、初期化済み アクティベーションロック解除済み 発送は本体のみとなります。 iPhone SE 第2世代 128GB SIMフリー ブランド:Apple iPhone SE(第2世代) 画面サイズ:4.7 インチ 内蔵ストレージ容量:128GB SIM情報:SIMフリー 対応SIMサイズ:nanoSIM スマートフォン特徴:耐水、防水機能 ワイヤレス充電 GPS機能 認証機能:指紋認証 Apple Pay:対応 センサー:加速度センサー ジャイロセンサー 地磁気センサー(コンパス) 光センサー 近接センサー 気圧センサー シリーズ...iPhone 機種名...iPhone SE 第2世代 (SE2) スマートフォン カラー...ホワイト バッテリー最大容量...100% 画面割れ...なし 機能不良...なし 容量···128GB,100.0,good,False,128GB,,False,False,False,False,False,True,unlocked,none,False,clean,excellent,,False,,True,True,False
https://buyee.jp/mercari/item/m12301512283,【美品】iPhone15 128GB ブルー,"77,000 yen",No obvious damages/dirt,【美品】iPhone15 128GB ブルー ▼使用期間 23ヶ月 ▼使用状況 画面保護シート、iPhoneケースを常に使用していたため目立つ傷や汚れはなく美品となります。 ▼バッテリー最大容量 87% ※購入時の箱等はありません。本体のみ出品です。 発送時は機種変更時、次機種が梱包されていた外箱を使用し、発送させていただきます。 シリーズ···iPhone 機種名···iPhone 15 スマートフォン カラー···ブルー 容量···128GB バッテリー最大容量···85~89% 画面割れ···なし 購入したキャリア···SIMフリー 機能不良···なし,mercari,【美品】iPhone15 128GB ブルー ▼使用期間 23ヶ月 ▼使用状況 画面保護シート、iPhoneケースを常に使用していたため目立つ傷や汚れはなく美品となります。 ▼バッテリー最大容量 87% ※購入時の箱等はありません。本体のみ出品です。 発送時は機種変更時、次機種が梱包されていた外箱を使用し、発送させていただきます。 シリーズ···iPhone 機種名···iPhone 15 スマートフォン カラー···ブルー 容量···128GB バッテリー最大容量···85~89% 画面割れ···なし 購入したキャリア···SIMフリー 機能不良···なし,【美品】iPhone15 128GB ブルー ▼使用期間 23ヶ月 ▼使用状況 画面保護シート、iPhoneケースを常に使用していたため目立つ傷や汚れはなく美品となります。 ▼バッテリー最大容量 87% ※購入時の箱等はありません。本体のみ出品です。 発送時は機種変更時、次機種が梱包されていた外箱を使用し、発送させていただきます。 シリーズ···iPhone 機種名···iPhone 15 スマートフォン カラー···ブルー 容量···128GB バッテリー最大容量···85~89% 画面割れ···なし 購入したキャリア···SIMフリー 機能不良···なし,87.0,,False,128GB,,True,False,False,False,False,True,unlocked,,True,clean,excellent,,False,,,False,False
https://buyee.jp/mercari/item/m71612172331,Samsung Galaxy Z Flip 5 パープル 傷あり,"15,000 yen",Damaged/dirty,Samsung Galaxy Z Flip 5 パープル 傷あり 海外版 GALAXY Z Flip5 パープル 中古品 画面液晶漏れあり 型番 SM-F731N 約2年近く使用しておりました。 本体のみの発送となります。 使用時はガラス保護フィルムをしようしており、外装も保護ケースを使用しておりますが、ヒンジ部分に傷がありあります。 その他、画面に2箇所、液晶漏れのようなシミのような箇所がございます。画像をご覧ください。 こちらが発見できていない傷もあるかと思いますので、ご理解の上ご購入をお願いいたします。 国内版の端末ではございません、海外版SIMフリーとなります。 ご質問で対応しているかのご質問を頂くことがございますので、対応バンドを記載しておきます。ご自身でご判断ください。 ちなみに私はドコモ回線で問題なく使用しておりました。 国内版のGALAXYではございませんので、設定などはご自身のご判断でお願い致します。 ネットで検索すると設定等は出ておりました。 海外の某有名スマートフォン専門の通販サイトで購入し、問題もなく未開封で届いた品です。かなり綺麗かと思います。 IMEI1:359222391068647 IMEI2:359742771068644 中古品になりますので、ノークレームノーリターンとさせていただきます。 シリーズ...Galaxy 機種名...Galaxy Z Flip5 スマートフォン カラー...ラベンダー 容量...512GB 機能不良...なし 容量...256GB,mercari,Samsung Galaxy Z Flip 5 パープル 傷あり 海外版 GALAXY Z Flip5 パープル 中古品 画面液晶漏れあり 型番 SM-F731N 約2年近く使用しておりました。 本体のみの発送となります。 使用時はガラス保護フィルムをしようしており、外装も保護ケースを使用しておりますが、ヒンジ部分に傷がありあります。 その他、画面に2箇所、液晶漏れのようなシミのような箇所がございます。画像をご覧ください。 こちらが発見できていない傷もあるかと思いますので、ご理解の上ご購入をお願いいたします。 国内版の端末ではございません、海外版SIMフリーとなります。 ご質問で対応しているかのご質問を頂くことがございますので、対応バンドを記載しておきます。ご自身でご判断ください。 ちなみに私はドコモ回線で問題なく使用しておりました。 国内版のGALAXYではございませんので、設定などはご自身のご判断でお願い致します。 ネットで検索すると設定等は出ておりました。 海外の某有名スマートフォン専門の通販サイトで購入し、問題もなく未開封で届いた品です。かなり綺麗かと思います。 IMEI1:359222391068647 IMEI2:359742771068644 中古品になりますので、ノークレームノーリターンとさせていただきます。 シリーズ...Galaxy 機種名...Galaxy Z Flip5 スマートフォン カラー...ラベンダー 容量...512GB 機能不良...なし 容量...256GB,Samsung Galaxy Z Flip 5 パープル 傷あり 海外版 GALAXY Z Flip5 パープル 中古品 画面液晶漏れあり 型番 SM-F731N 約2年近く使用しておりました。 本体のみの発送となります。 使用時はガラス保護フィルムをしようしており、外装も保護ケースを使用しておりますが、ヒンジ部分に傷がありあります。 その他、画面に2箇所、液晶漏れのようなシミのような箇所がございます。画像をご覧ください。 こちらが発見できていない傷もあるかと思いますので、ご理解の上ご購入をお願いいたします。 国内版の端末ではございません、海外版SIMフリーとなります。 ご質問で対応しているかのご質問を頂くことがございますので、対応バンドを記載しておきます。ご自身でご判断ください。 ちなみに私はドコモ回線で問題なく使用しておりました。 国内版のGALAXYではございませんので、設定などはご自身のご判断でお願い致します。 ネットで検索すると設定等は出ておりました。 海外の某有名スマートフォン専門の通販サイトで購入し、問題もなく未開封で届いた品です。かなり綺麗かと思います。 IMEI1:359222391068647 IMEI2:359742771068644 中古品になりますので、ノークレームノーリターンとさせていただきます。 シリーズ...Galaxy 機種名...Galaxy Z Flip5 スマートフォン カラー...ラベンダー 容量...512GB 機能不良...なし 容量...256GB,,,False,512GB,,False,False,False,False,False,True,unlocked,,True,clean,excellent,,False,,,False,False
https://buyee.jp/mercari/item/m25730117144,POCOF7 シルバー 12GB+512GB,"52,000 yen",No obvious damages/dirt,POCOF7 シルバー 12GB+512GB 2025年8月25日に楽天市場(Xiaomi公式)にて購入しました。 バッテリー健康度100% 本体・画面に傷無し 本体(PDA工房・黒影 貼り付け済み) MagSafe対応ケース MagSafeリング の3点セットになります 付属品などは画像にてご確認ください。,mercari,POCOF7 シルバー 12GB+512GB 2025年8月25日に楽天市場(Xiaomi公式)にて購入しました。 バッテリー健康度100% 本体・画面に傷無し 本体(PDA工房・黒影 貼り付け済み) MagSafe対応ケース MagSafeリング の3点セットになります 付属品などは画像にてご確認ください。,POCOF7 シルバー 12GB+512GB 2025年8月25日に楽天市場(Xiaomi公式)にて購入しました。 バッテリー健康度100% 本体・画面に傷無し 本体(PDA工房・黒影 貼り付け済み) MagSafe対応ケース MagSafeリング の3点セットになります 付属品などは画像にてご確認ください。,100.0,,False,512GB,,False,False,False,False,False,False,,,True,scratched,,,False,,,False,False
https://buyee.jp/mercari/item/m52563034280,未使用に近い　保証付　バッテリー100%　iPhone 13 Pro 256GB,"85,900 yen",Close to unused,未使用に近い　保証付　バッテリー100%　iPhone 13 Pro 256GB ※値下げには対応できませんのでご了承ください。 iPhone 13 Pro 256GB SIMフリー ゴールド シリアル番号 : T9GPTJ6T2K IMEI : 354980612484654 ■付属品■ ・iPhone 13 Pro 本体 -外箱 -lightning充電ケーブル (未使用) -説明書 -SIMピン -ステッカー ■バッテリー■ ・バッテリー最大容量100% ■動作■ ・正常動作確認済み ・アクティベーションロック解除済み ・初期化済み ・修理歴、交換歴無し ※使用期間や頻度についてはバッテリー項目を参考にしてください。 ■状態■ 2025年10月アクティベート品 ディスプレイ、側面、背面について気になる傷や擦れも無く未使用に近いレベルの大変綺麗な状態となっています。 SIMフリー端末ですので、様々なキャリアのSIMに対応しています。 バッテリーの最大容量についても100％と劣化の見られない非常に良好な状態となっています。 Appleの保証についても2026年10月24日まで残っていますので、安心してお使いいただけます。 コンパクトなデザインでありながら、パフォーマンスについても非常に優れています。 ■梱包-発送■ プチプチに包んで丁寧に梱包し、24時間以内に発送手続き致します。 素敵なご縁となることを願っています。 大変状態の良いものですのでぜひご検討下さい。 (^^) 出品中のiPhone関連 #IBU’sshopiPhone 出品中のお品はこちら #IBU’sshop #Apple #iphone #iPhone13 #iphoneSE #iphone16 #iPhone17 #128gb #256gb #512gb #simフリー #アップル #ミッドナイト #スマートフォン #タブレット #新品 #未使用 #未開封 #美品 #ゴールド #Gold #IBU’sshopiPhone #IBU’sshop,mercari,未使用に近い　保証付　バッテリー100%　iPhone 13 Pro 256GB ※値下げには対応できませんのでご了承ください。 iPhone 13 Pro 256GB SIMフリー ゴールド シリアル番号 : T9GPTJ6T2K IMEI : 354980612484654 ■付属品■ ・iPhone 13 Pro 本体 -外箱 -lightning充電ケーブル (未使用) -説明書 -SIMピン -ステッカー ■バッテリー■ ・バッテリー最大容量100% ■動作■ ・正常動作確認済み ・アクティベーションロック解除済み ・初期化済み ・修理歴、交換歴無し ※使用期間や頻度についてはバッテリー項目を参考にしてください。 ■状態■ 2025年10月アクティベート品 ディスプレイ、側面、背面について気になる傷や擦れも無く未使用に近いレベルの大変綺麗な状態となっています。 SIMフリー端末ですので、様々なキャリアのSIMに対応しています。 バッテリーの最大容量についても100％と劣化の見られない非常に良好な状態となっています。 Appleの保証についても2026年10月24日まで残っていますので、安心してお使いいただけます。 コンパクトなデザインでありながら、パフォーマンスについても非常に優れています。 ■梱包-発送■ プチプチに包んで丁寧に梱包し、24時間以内に発送手続き致します。 素敵なご縁となることを願っています。 大変状態の良いものですのでぜひご検討下さい。 (^^) 出品中のiPhone関連 #IBU’sshopiPhone 出品中のお品はこちら #IBU’sshop #Apple #iphone #iPhone13 #iphoneSE #iphone16 #iPhone17 #128gb #256gb #512gb #simフリー #アップル #ミッドナイト #スマートフォン #タブレット #新品 #未使用 #未開封 #美品 #ゴールド #Gold #IBU’sshopiPhone #IBU’sshop,未使用に近い 保証付 バッテリー100% iPhone 13 Pro 256GB ※値下げには対応できませんのでご了承ください。 iPhone 13 Pro 256GB SIMフリー ゴールド シリアル番号 : T9GPTJ6T2K IMEI : 354980612484654 ■付属品■ ・iPhone 13 Pro 本体 -外箱 -lightning充電ケーブル (未使用) -説明書 -SIMピン -ステッカー ■バッテリー■ ・バッテリー最大容量100% ■動作■ ・正常動作確認済み ・アクティベーションロック解除済み ・初期化済み ・修理歴、交換歴無し ※使用期間や頻度についてはバッテリー項目を参考にしてください。 ■状態■ 2025年10月アクティベート品 ディスプレイ、側面、背面について気になる傷や擦れも無く未使用に近いレベルの大変綺麗な状態となっています。 SIMフリー端末ですので、様々なキャリアのSIMに対応しています。 バッテリーの最大容量についても100%と劣化の見られない非常に良好な状態となっています。 Appleの保証についても2026年10月24日まで残っていますので、安心してお使いいただけます。 コンパクトなデザインでありながら、パフォーマンスについても非常に優れています。 ■梱包-発送■ プチプチに包んで丁寧に梱包し、24時間以内に発送手続き致します。 素敵なご縁となることを願っています。 大変状態の良いものですのでぜひご検討下さい。 (^^) 出品中のiPhone関連 #IBU’sshopiPhone 出品中のお品はこちら #IBU’sshop #Apple #iphone #iPhone13 #iphoneSE #iphone16 #iPhone17 #128gb #256gb #512gb #simフリー #アップル #ミッドナイト #スマートフォン #タブレット #新品 #未使用 #未開封 #美品 #ゴールド #Gold #IBU’sshopiPhone #IBU’sshop,100.0,good,True,512GB,,True,False,True,False,False,True,unlocked,,True,,excellent,,False,,,True,False
https://buyee.jp/mercari/item/m30185563609,良品　付属品　iPhone SE 第3世代 64GB スターライト SIMフリー,"27,200 yen",A little damaged/dirty,良品　付属品　iPhone SE 第3世代 64GB スターライト SIMフリー ※値下げには対応できませんのでご了承ください。 iPhoneSE 第3世代 64GB SIMフリー スターライト MMYD3J/A シリアル番号 : RM41F4GKF2 IMEI : 358651661943678 ■付属品■ ・iPhoneSE 3 本体 -外箱 -lightning充電ケーブル (未使用) -説明書 -SIMピン -ステッカー ■バッテリー■ ・バッテリー最大容量87% ■動作■ ・正常動作確認済み ・アクティベーションロック解除済み ・初期化済み ・修理歴、交換歴無し ※使用期間や頻度についてはバッテリー項目を参考にしてください。 ■状態■ ディスプレイには使用に伴う線状の小さい薄い擦れや擦れ傷は一部ありますが、大きく目立つものは無く点灯時には気にならない程度の状態です。 側面ついて薄い擦れや0.2mm程度のとても小さい擦れ傷は一部見受けられますが、目立つものは無くその他の部分についても綺麗な状態です。 背面について気になる目立つ傷や擦れは無く綺麗な状態となっています。 SIMフリー端末ですので、様々なキャリアのSIMに対応しています。 バッテリー最大容量についても87%と劣化の少ない良好な状態となっています。 コンパクトなデザインでありながら、パフォーマンスについても非常に優れています。 ■梱包-発送■ プチプチに包んで丁寧に梱包し、24時間以内に発送手続き致します。 素敵なご縁となることを願っています。 ぜひご検討下さい。 (^^) 出品中のiPhone関連 #IBU’sshopiPhone 出品中のお品はこちら #IBU’sshop #Apple #iphone #iphoneSE #iphone14 #iphone15 #iPhone16 #64gb #128gb #256gb #512gb #第2世代 #第3世代 #simフリー #アップル #ミッドナイト #スマートフォン #タブレット #新品 #未使用 #未開封 #美品 #スターライト #Starlight #MMYD3JA #IBU’sshopiPhone #IBU’sshop,mercari,良品　付属品　iPhone SE 第3世代 64GB スターライト SIMフリー ※値下げには対応できませんのでご了承ください。 iPhoneSE 第3世代 64GB SIMフリー スターライト MMYD3J/A シリアル番号 : RM41F4GKF2 IMEI : 358651661943678 ■付属品■ ・iPhoneSE 3 本体 -外箱 -lightning充電ケーブル (未使用) -説明書 -SIMピン -ステッカー ■バッテリー■ ・バッテリー最大容量87% ■動作■ ・正常動作確認済み ・アクティベーションロック解除済み ・初期化済み ・修理歴、交換歴無し ※使用期間や頻度についてはバッテリー項目を参考にしてください。 ■状態■ ディスプレイには使用に伴う線状の小さい薄い擦れや擦れ傷は一部ありますが、大きく目立つものは無く点灯時には気にならない程度の状態です。 側面ついて薄い擦れや0.2mm程度のとても小さい擦れ傷は一部見受けられますが、目立つものは無くその他の部分についても綺麗な状態です。 背面について気になる目立つ傷や擦れは無く綺麗な状態となっています。 SIMフリー端末ですので、様々なキャリアのSIMに対応しています。 バッテリー最大容量についても87%と劣化の少ない良好な状態となっています。 コンパクトなデザインでありながら、パフォーマンスについても非常に優れています。 ■梱包-発送■ プチプチに包んで丁寧に梱包し、24時間以内に発送手続き致します。 素敵なご縁となることを願っています。 ぜひご検討下さい。 (^^) 出品中のiPhone関連 #IBU’sshopiPhone 出品中のお品はこちら #IBU’sshop #Apple #iphone #iphoneSE #iphone14 #iphone15 #iPhone16 #64gb #128gb #256gb #512gb #第2世代 #第3世代 #simフリー #アップル #ミッドナイト #スマートフォン #タブレット #新品 #未使用 #未開封 #美品 #スターライト #Starlight #MMYD3JA #IBU’sshopiPhone #IBU’sshop,良品 付属品 iPhone SE 第3世代 64GB スターライト SIMフリー ※値下げには対応できませんのでご了承ください。 iPhoneSE 第3世代 64GB SIMフリー スターライト MMYD3J/A シリアル番号 : RM41F4GKF2 IMEI : 358651661943678 ■付属品■ ・iPhoneSE 3 本体 -外箱 -lightning充電ケーブル (未使用) -説明書 -SIMピン -ステッカー ■バッテリー■ ・バッテリー最大容量87% ■動作■ ・正常動作確認済み ・アクティベーションロック解除済み ・初期化済み ・修理歴、交換歴無し ※使用期間や頻度についてはバッテリー項目を参考にしてください。 ■状態■ ディスプレイには使用に伴う線状の小さい薄い擦れや擦れ傷は一部ありますが、大きく目立つものは無く点灯時には気にならない程度の状態です。 側面ついて薄い擦れや0.2mm程度のとても小さい擦れ傷は一部見受けられますが、目立つものは無くその他の部分についても綺麗な状態です。 背面について気になる目立つ傷や擦れは無く綺麗な状態となっています。 SIMフリー端末ですので、様々なキャリアのSIMに対応しています。 バッテリー最大容量についても87%と劣化の少ない良好な状態となっています。 コンパクトなデザインでありながら、パフォーマンスについても非常に優れています。 ■梱包-発送■ プチプチに包んで丁寧に梱包し、24時間以内に発送手続き致します。 素敵なご縁となることを願っています。 ぜひご検討下さい。 (^^) 出品中のiPhone関連 #IBU’sshopiPhone 出品中のお品はこちら #IBU’sshop #Apple #iphone #iphoneSE #iphone14 #iphone15 #iPhone16 #64gb #128gb #256gb #512gb #第2世代 #第3世代 #simフリー #アップル #ミッドナイト #スマートフォン #タブレット #新品 #未使用 #未開封 #美品 #スターライト #Starlight #MMYD3JA #IBU’sshopiPhone #IBU’sshop,87.0,good,True,512GB,,True,False,True,False,False,True,unlocked,,True,,excellent,,False,,,True,False
