link,name,price,condition,explanation,source,original_title,preprocessed_title,brand,model_line,model_number,variant,ram,capacity,color
https://buyee.jp/mercari/item/m48604132463,iPhone16 512GB 超美品 SIMフリー,"138,000 yen",No obvious damages/dirt,iPhone16 512GB 超美品 SIMフリー ご覧いただきありがとうございます。 基本的にお手頃価格で出品しておりますので、値下げ交渉はご遠慮ください。場合によってはブロックする場合があります。 商品概要 ・iPhone16 512GB ・海外版のため、シャッター音が消せます ・完動品、eSIM専用、残債なし、SIMフリーのため、全キャリアでご利用可能 外観 全体的に綺麗な状態ですが、中古品であることをご理解ください。細部が気になる神経質な方はご購入をお控えいただければ幸いです 付属品 ・本体のみ 注意事項 eSIM専用機のため、物理SIMはご利用いただけません。 (物理SIMからeSIMへの変更も簡単。SIMカードを差し替える必要がなく、無くす心配もありません。) ・バッテリー容量：100% ・SIMロック解除済み ・日本国内全キャリア対応 ・動作確認済み ・ネットワーク制限なし シリーズ...その他,mercari,iPhone16 512GB 超美品 SIMフリー,iPhone16 512GB SIM,Apple,iPhone,16,,,512GB,
https://buyee.jp/mercari/item/m90150522378,美品 海外版 iPhoneSE3 第3世代 64GB スターライト,"38,000 yen",No obvious damages/dirt,美品 海外版 iPhoneSE3 第3世代 64GB スターライト iPhone SE 第3世代 64GB スターライト イギリス方面へ行ったときに購入したものだったかと思います 海外版のためマナーモード等でシャッター音が鳴らないモデルになります すぐガラスフィルムとカバーをつけ、自宅の着信専用端末として使っていたのでキズも見当たらずかなりキレイではないかと思います 買取り査定ではAランクでした バッテリーは購入時より交換していないですが最大容量は88%あるのでまだ使用できると思います 動作に不具合はないですが中古品となりますので新品同様のものをお求めの方はご遠慮いただければと思います 外装は写真にてご判断をお願いいたします,mercari,美品 海外版 iPhoneSE3 第3世代 64GB スターライト,iPhoneSE3 3 64GB,Apple,iPhone,SE,,,64GB,
https://buyee.jp/mercari/item/m35714574118,asus zenfone 10 128GB ブラック,"63,000 yen",No obvious damages/dirt,asus zenfone 10 128GB ブラック ご覧いただきありがとうございます。 2023年11月新品購入したものです。 細かな傷が全体にございますので、写真にてご確認ください。 端末内の診断ツールにより、各機能に問題がないことを確認しております。 スマートフォン カラー...ミッドナイトブラック 容量...128GB 機能不良...なし Zenfone Zenfone10 ASUS エイスース,mercari,asus zenfone 10 128GB ブラック,asus zenfone 10 128GB,ASUS,,,,,128GB,
https://buyee.jp/mercari/item/m45009090869,Apple iPhone 4S 16GB ホワイト MD239J/A,"2,990 yen",No obvious damages/dirt,Apple iPhone 4S 16GB ホワイト MD239J/A «匿名配送で送料無料です。コメントなし即購入大歓迎です！» 整理のため出品します。 他の商品はコチラ→ しばらく使うことなく保管していたモノです。 清掃・クリーニングしてなるべくキレイな状態でお渡しします♪ ■ 商品について Apple iPhone 4S 16GB ホワイト MD239J/A 写真に写っているモノが全てです。 起動確認済みです。 カメラ作動確認済みです。 充電確認済みです。 初期化済みです。 バッテリーの減りは、何もせず１日置くと5～10%くらい減ります。 画面上下が少し黄色っぽくなっています。 ホームボタンの効きが少し悪いかもしれません。 強く押すと反応します。 ※ソフトバンクのSIMロックがされていますのでご注意ください。 ■ 注意事項 当商品は、中古品です。 「中古品でも使えれば問題ない」という方にはお得な商品です。 ■ 発送について ゆうゆうメルカリ便で発送予定です。 基本的に２４時間以内に発送します！ ■ 梱包について 本体はビニール、プチプチに包んで丁寧に梱包させていただきす。,mercari,Apple iPhone 4S 16GB ホワイト MD239J/A,Apple iPhone 4S 16GB MD239J/A,Apple,iPhone,4,,16GB,16GB,
https://buyee.jp/mercari/item/m66800770453,【超美品】iPhone16 128GB ウルトラマリン　未使用保護ガラス付き,"104,500 yen",No obvious damages/dirt,"【超美品】iPhone16 128GB ウルトラマリン　未使用保護ガラス付き 超美品✨iPhone16 ホワイト128GB 傷等はなく外装も新品同様です‼️ ・出品時のバッテリー最大容量:99% ・Apple Storeにて一括購入のため 残債なし ・SIMフリー ・アクティベーション解除済 ※一式 箱　付属ケーブル未使用品付き 保護ガラスを付け手帳型ケースで使用していた為とてもきれいです 動作もカメラ機能も不具合等一切なし！ ※落下等もありません 角打ちキズ等も無し！ ✨超美品ですよー アルコール消毒を行い、純正箱に入れ梱包の上 初期化、アクティベーションロックを解除して発送いたします。 シリーズ···iPhone 機種名···iPhone 16 スマートフォン カラー···ウルトラマリン 容量···128GB 購入したキャリア···その他 付属品···充電ケーブル,箱 バッテリー最大容量···99% 画面割れ···なし 機能不良···なし IMEI ···356479198124535",mercari,【超美品】iPhone16 128GB ウルトラマリン　未使用保護ガラス付き,iPhone16 128GB,Apple,iPhone,16,,,128GB,
https://buyee.jp/mercari/item/m25630413051,Redmi Note 14 ミッドナイトブラック 6GB/128GB,"17,000 yen",Close to unused,Redmi Note 14 ミッドナイトブラック 6GB/128GB グローバル版です。メルカリで新品購入しましたが、使用しないので出品します。ガラスフィルム装着済みです。 108MP AIカメラと5500mAhバッテリーを搭載したスマートフォン。 - モデル名: Redmi Note 14 - カメラ: 108MP AIカメラ - バッテリー容量: 5500mAh (typ) - RAM: 6GB - ROM: 128GB - カラー: ミッドナイトブラック ご覧いただきありがとうございます。 シリーズ...その他,mercari,Redmi Note 14 ミッドナイトブラック 6GB/128GB,Redmi Note 14 6GB/128GB,Xiaomi,Redmi,Note 14,,6GB,128GB,Red
https://buyee.jp/mercari/item/m77112066309,Apple iPhone 14 SIMフリー 本体 128GB,"55,999 yen",No obvious damages/dirt,Apple iPhone 14 SIMフリー 本体 128GB Apple iPhone 14 SIMフリー 本体 128GB 機種名···iPhone 14 スマートフォン カラー···ミッドナイト 容量···128GB バッテリー最大容量···77% Appleオンラインショップで新品購入し、使用していました。 大きな割れなどはありませんが、通常使用による細かい傷や使用感はあります。 普通に使用できます。 Lightningケーブルも付属しますが、使用品になりますので写真をご確認下さい。 中古品になりますので、神経質な方はお控え下さい iPhoneが届いた段ボールでお送りいたします。 #iPhone14 #iPhone,mercari,Apple iPhone 14 SIMフリー 本体 128GB,Apple iPhone 14 SIM 128GB,Apple,iPhone,14,,,128GB,
https://buyee.jp/mercari/item/m25847902273,simフリースマホ,"4,500 yen",A little damaged/dirty,simフリースマホ シリーズ...AQUOS 機種名...AQUOS sense lite スマートフォン カラー...ブラック 容量...32GB,mercari,simフリースマホ,sim,,,,,,,
https://buyee.jp/mercari/item/m42457356977,【新品未開封】iPhone17pro 512GB　ディープブルー　SIMフリー,"239,999 yen",New/Unused,【新品未開封】iPhone17pro 512GB　ディープブルー　SIMフリー ✨✨フォロー割で1000円引き致します✨✨ ✳️その他のお値引きは出来かねます。 【新品未開封】 国内製品 シリーズ···iPhone 機種名···iPhone 17 Pro スマートフォン カラー···ディープブルー 容量···512GB SIMフリー 10月にアップルストアから購入しましたが使わないので出品します。,mercari,【新品未開封】iPhone17pro 512GB　ディープブルー　SIMフリー,iPhone17pro 512GB SIM,Apple,iPhone,17,,,512GB,
https://buyee.jp/mercari/item/m78817082575,【美品】iPhone6s スペースグレイ 16GB 79%,"5,100 yen",No obvious damages/dirt,【美品】iPhone6s スペースグレイ 16GB 79% iOS15.8.5 ※SIMフリー au◯ AirDrop、外カメ、内カメ問題無し Wi-Fi◯、BluetoothON◯、Apple ID◯、カメラ◯、スピーカー◯、マイク◯、イヤホン◯、Touch ID◯、AirDrop◯、ボタン類◯、ライト◯、充電◯ ※ジャンク扱い 古い機種の為、 若干小傷有り、 モバイル通信、アプリインストール確認はしていません（こちらが必須の方は自己責任でお願い致します）、 SIMの確認もしておりません。メインスマホには推奨しません。 あくまでもサブとしてお考え下さい。SIMを使う場合自己責任でお願いします。 ※アクティベーションロック解除済み、 初期化、アクティベート確認済み。 利用制限無し。 ※本体のみ。付属品無し。 ゆうゆうメルカリ便↔︎らくらくメルカリ便変更可能。 ※※※値下げ不可※※※ 18時までは即日発送。（以降は日によります）,mercari,【美品】iPhone6s スペースグレイ 16GB 79%,iPhone6s 16GB 79%,Apple,iPhone,6,,16GB,16GB,
