preprocessed_title,brand,model_line,model_number,variant,ram,capacity,color,condition
iPhone16 512GB SIM,Apple,iPhone,16,,,512GB,,No obvious damages/dirt
iPhoneSE3 3 64GB,Apple,iPhone,SE,,,64GB,,No obvious damages/dirt
asus zenfone 10 128GB,ASUS,,,,,128GB,,No obvious damages/dirt
Apple iPhone 4S 16GB MD239J/A,Apple,iPhone,4,,16GB,16GB,,No obvious damages/dirt
iPhone16 128GB,Apple,iPhone,16,,,128GB,,No obvious damages/dirt
Redmi Note 14 6GB/128GB,Xiaomi,Redmi,Note 14,,6GB,128GB,Red,Close to unused
Apple iPhone 14 SIM 128GB,Apple,iPhone,14,,,128GB,,No obvious damages/dirt
sim,,,,,,,,A little damaged/dirty
iPhone17pro 512GB SIM,Apple,iPhone,17,,,512GB,,New/Unused
iPhone6s 16GB 79%,Apple,iPhone,6,,16GB,16GB,,No obvious damages/dirt
Apple iPhone 6s Plus 64GB,Apple,iPhone,6,Plus,,64GB,,No obvious damages/dirt
iPhone13 128GB SIM,Apple,iPhone,13,,,128GB,,No obvious damages/dirt
iPhone 7 128GB,Apple,iPhone,7,,,128GB,,A little damaged/dirty
iPhone 11 256gb,Apple,iPhone,11,,,256GB,,A little damaged/dirty
Samsung Galaxy A56 5G 8GB/256GB,Samsung,Galaxy,A56,,8GB,256GB,,New/Unused
Apple iPhone11 128GB PRODUCT(RRD)SIM,Apple,iPhone,11,,,128GB,,No obvious damages/dirt
Apple iPhone 12,Apple,iPhone,12,,,,,No obvious damages/dirt
iPhone 12 mini 128GB PRODUCT(RED),Apple,iPhone,12,mini,,128GB,Red,Damaged/dirty
Apple iPhone 13 ProMax 256GB Sierra Blue,Apple,iPhone,13,,,256GB,Blue,No obvious damages/dirt
iPhone SE3 3 128GB Apple iPhone,Apple,iPhone,SE,,,128GB,,No obvious damages/dirt
໒ i Phone SE3 128GB sim,,,,,,128GB,,No obvious damages/dirt
iPhoneSE 2 128GB SIM,Apple,iPhone,SE,,,128GB,,No obvious damages/dirt
Apple iPhone Xs,Apple,iPhone,Xs,,,,,A little damaged/dirty
!iPhone13Pro 256GB,Apple,iPhone,13,,,256GB,,No obvious damages/dirt
Apple iPhone 13 Pro MAX,Apple,iPhone,13,Pro Max,,,,No obvious damages/dirt
Apple iPhone 12,Apple,iPhone,12,,,,,No obvious damages/dirt
iPhone 12 Pro SIM 128GB,Apple,iPhone,12,Pro,,128GB,,In bad condition overall
Apple iPhone XR 128GB,Apple,iPhone,XR,,,128GB,,A little damaged/dirty
iPhone13 256GB SIM,Apple,iPhone,13,,,256GB,,No obvious damages/dirt
sim iPhone 15 pro 128GB,Apple,iPhone,15,Pro,,128GB,,No obvious damages/dirt
iPhone 12Pro 256GB,Apple,iPhone,12,,,256GB,,Damaged/dirty
Apple iPhone 12 red 128GB,Apple,iPhone,12,,,128GB,Red,No obvious damages/dirt
Samsung Galaxy A25 5G,Samsung,Galaxy,A25,,,,,New/Unused
iPhone 13mini( ) • • •,Apple,iPhone,13,,,,,Damaged/dirty
Apple iPhone 6 16GB 90%,Apple,iPhone,6,,16GB,16GB,,A little damaged/dirty
Samsung Galaxy Z Flip5,Samsung,,,,,,,Close to unused
iPhone 12 mini 128GB SIM,Apple,iPhone,12,mini,,128GB,,A little damaged/dirty
Apple iPhone 14 Pro 256GB SIM,Apple,iPhone,14,Pro,,256GB,,A little damaged/dirty
iPhone16 128gb sim,Apple,iPhone,16,,,128GB,,A little damaged/dirty
iPhone17pro 512GB SIM,Apple,iPhone,17,,,512GB,,New/Unused
iPhone17pro 256GB SIM,Apple,iPhone,17,,,256GB,,New/Unused
iPhone15 128GB 100%,Apple,iPhone,15,,,128GB,,Close to unused
NTT docomo F-52B,,,,,,,,Damaged/dirty
Apple iPhone 16e,Apple,iPhone,16,,,,,A little damaged/dirty
iPhone6 16GB SIM,Apple,iPhone,6,,16GB,16GB,,A little damaged/dirty
iPhoneSE 256,Apple,iPhone,SE,,,,,No obvious damages/dirt
Libero Flip 128GB,,,,,,128GB,,No obvious damages/dirt
iPhone7 32GB SIM,Apple,iPhone,7,,,32GB,,A little damaged/dirty
Apple iPhone iPhone SE( 3 ) 64GB docomo,Apple,iPhone,SE,,,64GB,,A little damaged/dirty
Apple iPhone iPhone 15 Pro Max 512GB au,Apple,iPhone,15,Pro Max,,512GB,,No obvious damages/dirt
Apple iPhone iPhone 16 256GB SIM,Apple,iPhone,16,,,256GB,,Damaged/dirty
Apple iPhone iPhone 13 mini 128GB docomo,Apple,iPhone,13,mini,,128GB,,Damaged/dirty
Apple iPhone iPhone 15 128GB SIM,Apple,iPhone,15,,,128GB,,No obvious damages/dirt
Apple iPhone iPhone 15 Pro Max 512GB SIM,Apple,iPhone,15,Pro Max,,512GB,,A little damaged/dirty
Apple iPhone iPhone 14 Pro 128GB Softbank,Apple,iPhone,14,Pro,,128GB,,A little damaged/dirty
Apple iPhone iPhone 16 Pro 256GB Softbank,Apple,iPhone,16,Pro,,256GB,,No obvious damages/dirt
Apple iPhone iPhone 15 Pro Max 512GB SIM,Apple,iPhone,15,Pro Max,,512GB,,No obvious damages/dirt
Apple iPhone iPhone 14 256GB docomo,Apple,iPhone,14,,,256GB,,Damaged/dirty
Apple iPhone iPhone 13 Pro Max 1TB SIM,Apple,iPhone,13,Pro Max,,1TB,,No obvious damages/dirt
Apple iPhone iPhone 13 mini 256GB SIM,Apple,iPhone,13,mini,,256GB,,A little damaged/dirty
Apple iPhone iPhone 15 Pro 128GB SIM,Apple,iPhone,15,Pro,,128GB,,A little damaged/dirty
Apple iPhone iPhone XR 256GB SIM,Apple,iPhone,XR,,,256GB,,Damaged/dirty
Apple iPhone iPhone 15 Pro 1TB SIM,Apple,iPhone,15,Pro,,1TB,,Damaged/dirty
Apple iPhone iPhone 15 Pro Max 512GB OK,Apple,iPhone,15,Pro Max,,512GB,,New/Unused
Apple iPhone iPhone 16 Pro 128GB SIM,Apple,iPhone,16,Pro,,128GB,,No obvious damages/dirt
Apple iPhone iPhone 15 128GB SIM,Apple,iPhone,15,,,128GB,,No obvious damages/dirt
Apple iPhone iPhone 15 Pro 256GB SIM,Apple,iPhone,15,Pro,,256GB,,No obvious damages/dirt
Apple iPhone iPhone 13 Pro Max 256GB SIM,Apple,iPhone,13,Pro Max,,256GB,,Damaged/dirty
Apple iPhone iPhone 15 Pro 128GB,Apple,iPhone,15,Pro,,128GB,,No obvious damages/dirt
Apple iPhone iPhone 15 Pro Max 512GB Softbank SIM,Apple,iPhone,15,Pro Max,,512GB,,Damaged/dirty
Apple iPhone iPhone 12 mini 64GB au,Apple,iPhone,12,mini,,64GB,,Damaged/dirty
Apple iPhone iPhone 13 Pro 512GB SIM,Apple,iPhone,13,Pro,,512GB,,A little damaged/dirty
Apple iPhone iPhone 15 Pro 256GB SIM,Apple,iPhone,15,Pro,,256GB,,A little damaged/dirty
Apple iPhone iPhone 13 Pro 512GB Softbank SIM,Apple,iPhone,13,Pro,,512GB,,Damaged/dirty
Apple iPhone iPhone 15 Pro Max 256GB au,Apple,iPhone,15,Pro Max,,256GB,,No obvious damages/dirt
Apple iPhone iPhone 14 Pro Max 1TB au,Apple,iPhone,14,Pro Max,,1TB,,Damaged/dirty
Apple iPhone iPhone 12 128GB docomo,Apple,iPhone,12,,,128GB,,In bad condition overall
Apple iPhone iPhone SE( 2 ) 128GB SIM,Apple,iPhone,SE,,,128GB,,A little damaged/dirty
Apple iPhone iPhone 14 Pro 128GB SIM,Apple,iPhone,14,Pro,,128GB,,A little damaged/dirty
au BASIO KYV32 ( ),,,,,,,,Damaged/dirty
au KDDI Pixel 5,Google,Pixel,5,,,,,A little damaged/dirty
( )OPPO Reno10 Pro 5G 6.7 8GB 256GB ( ),OPPO,,,Pro,8GB,256GB,,No obvious damages/dirt
iPhone 6s,Apple,iPhone,6,,,,,A little damaged/dirty
Apple iPhone SE SIM 64GB,Apple,iPhone,SE,,,64GB,,No obvious damages/dirt
AQUOS wish2,SHARP,AQUOS,wish2,,,,,A little damaged/dirty
iPhone 11 Pro 64GB MWC32J/A,Apple,iPhone,11,Pro,,64GB,,No obvious damages/dirt
FCNT arrows We 2 128GB SIM esim Android15 M07,,,,,,128GB,,Close to unused
SIM iPhoneSE3 128GB Red SE iPhone SE 3 3 SIM A2783 88%,Apple,iPhone,SE,,,128GB,Red,A little damaged/dirty
Google Pixel7 SIM Lemongrass Softbank,Google,Pixel,7,,,,,Close to unused
TH1018 docomo MEDIAS N-02E ONE PIECE / / SIM,,,,,,,,Damaged/dirty
SIM 2026 3 1 SIM SIM,,,,,,,,Unused
Ymobile A303SH-y 0080280001145 10/08,,,,,,,,A little damaged/dirty
! arrows We F-51B docomo SIM,,,,,,,,Close to unused
/ SIM iPhoneSE 3 256GB MMYL3J/A 82% SE3,Apple,iPhone,SE,,,256GB,,A little damaged/dirty
Xiaomi Redmi Note 11 4 EL FHD+ 90Hz SIM+SIM+MicroSD 3,Xiaomi,Redmi,Note 11,,,,Red,Close to unused
iPhone8 64GB 76%,Apple,iPhone,8,,,64GB,,No obvious damages/dirt
/ SIM Xiaomi POCO F7 25053PC47G 12GB/256GB,Xiaomi,,,,12GB,256GB,,A little damaged/dirty
SIM iPhoneSE3 128GB SE iPhone SE 3 3 SIM A2782 MMYF3J/A 100%,Apple,iPhone,SE,,,128GB,,A little damaged/dirty
SHARP AQUOS Sence SHV40 32GB Android,SHARP,AQUOS,Sence,,,32GB,,No obvious damages/dirt
